chembl_id,assay_type,molregno_num,confidence_score
CHEMBL916765,A,56,0
CHEMBL916766,A,56,0
CHEMBL916767,A,56,0
CHEMBL917167,B,33,0
CHEMBL918626,B,65,0
CHEMBL918628,B,65,0
CHEMBL918638,F,38,0
CHEMBL918668,B,50,0
CHEMBL915431,B,36,0
CHEMBL918690,B,34,0
CHEMBL920049,B,33,0
CHEMBL914889,B,40,0
CHEMBL917398,A,43,0
CHEMBL917399,A,43,0
CHEMBL917400,A,43,0
CHEMBL917401,A,43,0
CHEMBL917402,A,43,0
CHEMBL914036,B,67,0
CHEMBL918279,B,34,0
CHEMBL914630,A,36,0
CHEMBL914631,A,36,0
CHEMBL914227,B,45,0
CHEMBL916656,F,33,0
CHEMBL903740,F,34,0
CHEMBL904602,A,43,0
CHEMBL905612,A,149,0
CHEMBL905613,A,140,0
CHEMBL905619,A,37,0
CHEMBL905620,P,96,0
CHEMBL905097,F,50,0
CHEMBL905159,B,40,0
CHEMBL905160,B,47,0
CHEMBL905998,A,34,0
CHEMBL905999,F,34,0
CHEMBL906001,A,34,0
CHEMBL906002,F,34,0
CHEMBL889051,B,36,0
CHEMBL889281,B,52,0
CHEMBL889282,A,55,0
CHEMBL889319,B,54,0
CHEMBL889443,P,37,0
CHEMBL889444,P,37,0
CHEMBL889466,T,39,0
CHEMBL889467,T,39,0
CHEMBL889524,T,50,0
CHEMBL888483,B,46,0
CHEMBL888484,B,46,0
CHEMBL888744,B,44,0
CHEMBL888895,B,54,0
CHEMBL888896,B,37,0
CHEMBL889769,A,56,0
CHEMBL889772,F,56,0
CHEMBL889771,A,56,0
CHEMBL889773,F,45,0
CHEMBL889959,P,38,0
CHEMBL891277,B,42,0
CHEMBL891300,B,40,0
CHEMBL891342,B,41,0
CHEMBL891343,B,39,0
CHEMBL891575,A,44,0
CHEMBL891576,A,34,0
CHEMBL891860,B,49,0
CHEMBL889754,A,44,0
CHEMBL891104,B,115,0
CHEMBL892387,A,124,0
CHEMBL892528,B,36,0
CHEMBL892563,A,63,0
CHEMBL892147,F,39,0
CHEMBL892148,F,39,0
CHEMBL892149,F,38,0
CHEMBL893613,B,49,0
CHEMBL893614,B,49,0
